"Taxa","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Methanothermobacter sp. THM-1",2,36,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanothermobacter","sp. THM-1"
"Methanothermus fervidus",3,34,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanothermaceae","Methanothermus","fervidus"
"Methanocaldococcus bathoardescens",2,33,"Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanocaldococcaceae","Methanocaldococcus","bathoardescens"
"Methanocaldococcus fervens",3,40,"Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanocaldococcaceae","Methanocaldococcus","fervens"
"Methanocaldococcus sp. FS406-22",3,48,"Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanocaldococcaceae","Methanocaldococcus","sp. FS406-22"
"Methanocaldococcus sp. SG7",2,28,"Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanocaldococcaceae","Methanocaldococcus","sp. SG7"
"Methanocaldococcus vulcanius",3,40,"Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanocaldococcaceae","Methanocaldococcus","vulcanius"
"Methanofervidicoccus sp. A16",2,28,"Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanocaldococcaceae","Methanofervidicoccus","sp. A16"
"Methanotorris igneus",7,104,"Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanocaldococcaceae","Methanotorris","igneus"
"Methanococcus aeolicus",8,124,"Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanococcus","aeolicus"
"Methanococcus maripaludis",13,382,"Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanococcus","maripaludis"
"Methanococcus vannielii",9,142,"Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanococcus","vannielii"
"Methanothermococcus okinawensis",8,158,"Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanothermococcus","okinawensis"
"Methanocella arvoryzae",11,268,"Archaea","Euryarchaeota","Methanomicrobia","Methanocellales","Methanocellaceae","Methanocella","arvoryzae"
"Methanocella conradii",9,178,"Archaea","Euryarchaeota","Methanomicrobia","Methanocellales","Methanocellaceae","Methanocella","conradii"
"Methanocella paludicola",6,106,"Archaea","Euryarchaeota","Methanomicrobia","Methanocellales","Methanocellaceae","Methanocella","paludicola"
"Methanocorpusculum labreanum",10,184,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanocorpusculaceae","Methanocorpusculum","labreanum"
"Methanoculleus bourgensis",12,290,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanoculleus","bourgensis"
"Methanoculleus chikugoensis",6,134,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanoculleus","chikugoensis"
"Methanoculleus marisnigri",6,137,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanoculleus","marisnigri"
"Methanofollis formosanus",10,166,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanofollis","formosanus"
"Methanofollis liminatans",8,178,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanofollis","liminatans"
"Methanolacinia petrolearia",7,116,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanolacinia","petrolearia"
"Methanoplanus limicola",13,250,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanoplanus","limicola"
"Methanoregula boonei",6,106,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae","Methanoregula","boonei"
"Methanoregula formicica",6,160,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae","Methanoregula","formicica"
"Methanosphaerula palustris",10,266,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae","Methanosphaerula","palustris"
